,subject_id,contrast1,contrast2,contrast3,contrast4
0,CISC18258,39.1538659484357,50.2041941378346,54.5308273739736,43.6295280452981
1,CISC19996,4.84278446995584,-7.77649118709313,11.5239489338307,-15.420889706461
2,CISC21552,1.58232690390489,-13.0433306226522,0.587295304919413,-6.46331050627267
3,CISC21622,8.61158701987134,-18.0835593382014,-0.698909749141697,23.4296207338326
4,CISC21626,-108.731703553262,-223.032538400928,-44.3620500868741,181.004519353341
5,CISC21712,65.5374569145862,52.1716830667516,56.2889847829366,50.0219424756362
6,CISC25208,-2.4892351153426,-9.99647608464604,-2.14433717041125,1.67790387978806
7,CISC25739,13.5770525292406,-4.29914395939163,-2.03053103092026,-17.4485874175014
8,CISC25741,46.5851028454183,48.5945743829064,75.5255851458914,49.119422697593
9,CISC25742,10.5530790824112,-1.02070743312823,32.072705156339,9.3476242697662
10,CISC25774,18.9427772182144,29.9369840285007,17.3850604774239,29.8611587336439
11,CISC25776,23.0816432158518,18.1916148163855,26.6987328760716,20.5727508040832
12,CISC25798,-7.08841208666095,3.50757603884615,-8.28528532758008,1.03438057449006
13,CISC25799,5.96441639869636,9.33104977816116,33.8370392497972,19.0363371807435
14,CISC25800,51.4045680561868,0.448789673047048,32.8890970703135,34.0591497627294
15,CISC25801,13.2887509478205,28.8937304855833,17.6051766102082,14.7202668719944
16,CISC26019,35.5397632431994,-21.8489413959814,-86.2168871379275,-4.2386767346248
17,CISC26062,34.271635924808,0.249912142237527,24.7465122113881,25.5193416305251
18,CISC26067,33.7150539421592,9.15311715184981,30.6021177867585,20.3122202222549
19,CISC26068,3.8393572038217,-205.517049567905,-17.0114776819467,-131.472848621777
20,CISC26070,21.6516958152381,21.2294534897472,39.6389134610076,11.5283509461904
21,CISC26088,-31.5505894427345,13.3828162325842,5.23480120600613,22.7174731185432
22,CISC26089,-551.056019314168,-846.791871251759,-912.401380524052,-835.930129570384
23,CISC26090,-234.846762323881,-292.897529450433,-180.72714319385,-329.787140266831
24,CISC26091,-44.3865444489675,24.6301447314567,-82.3555254024016,-32.0473435468295
25,CISC26092,17.9260534506168,-12.9577358767902,-2.4145608787443,-13.1112138645562
26,CISC26171,249.977793514952,348.858377794848,243.123132569158,316.681876024909
27,CISC26172,5.3023532215012,17.8804607485144,23.3004140253887,13.2122866452469
28,CISC26255,18.0350429670235,11.5895382613819,35.8312404069427,-16.5770556118228
29,CISC27661,30.460257378738,8.03207896432307,9.29213073432729,21.7431192822552
30,CISC28287,-8.27966661447805,-12.7003167190476,65.7993516358924,34.0791728656276
31,CISC28289,33.7845452286845,44.03101580646,33.6431240431962,40.2072046617513
32,CISC28318,-31.7828945644289,-20.6847106336978,0.423290056786888,10.2675473919189
33,CISC28335,48.7921311398075,90.5590330537333,66.2357410770929,58.0203643121151
34,CISC28404,-4.25425696345838,-7.270060747999,-7.92880608565828,-11.6921263600327
35,CISC28436,35.9912151226919,16.510311339843,36.9048696603943,27.9042361547038
36,CISC28475,10.5608049393003,4.69802611291963,-6.04455982462763,7.53194133735552
37,CISC28485,30.5064905602097,32.43197578403,13.3206090975801,27.7497116148727
38,CISC28545,-172.344966035999,-32.3641499731622,-237.319789154016,46.3466966757129
39,CISC28546,-10.2775979877715,5.39173467455481,9.51962070489069,-5.68380446960713
40,CISC28675,-38.370418120898,-36.6144040298801,-143.696525914074,-26.4677328270287
41,CISC28962,137.772757646318,90.0152695053703,112.117441945728,48.4099237711412
42,CISC29131,73.255952825539,41.4950465559075,80.3994420903363,65.2046748857973
43,CISC29132,6.21933046486487,26.4794825133357,-0.235342947959717,2.86486702786163
44,CISC29287,36.4729682091093,-65.0747726982147,-5.5624454737683,73.9117542048185
45,CISC29299,-41.0904971266959,-59.0339404447185,-68.4935680153226,-63.9965330426063
46,CISC29313,21.4425357073279,7.12160623162759,24.2107413675003,27.5750776361828
47,CISC29349,23.8100479166922,-3.76145552344335,-40.5742218430223,-34.1627510730817
48,CISC29362,-16.2254751414364,-84.8241601184583,35.7863958733036,20.1261473561523
49,CISC29363,538.423112335445,59.6936334780978,320.604562413184,81.1373213369838
50,CISC29616,-13.8567133179383,-13.548253981688,-10.3236700239796,-13.7992222615342
51,CISC29894,21.128845933838,41.5539826304831,22.1220421284096,-3.58050120206475
52,CISC30098,104.107761407982,114.604556252874,83.7322600722352,118.46154488972
53,CISC30352,-3.4368564850978,-9.83671619265278,6.69838885081919,-6.11011051624895
54,CISC30353,65.0095218137561,111.843285163826,92.0552505081564,65.4218074979571
55,CISC30498,15.3276207726717,23.6799150032096,10.6037216984238,28.5248844475427
56,CISC30515,63.8582926137858,4.19656742718608,30.005129766299,48.5452538701344
57,CISC30516,163.27357116928,193.734842077467,167.43609624788,204.508882168748
58,CISC30570,-668.804782824154,-238.87897061283,-645.270291708907,-362.241968485869
59,CISC30689,16.4548542609663,-13.6550775231892,-6.3820045275669,-9.54346233717481
60,CISC30695,19.9314105746001,43.4603255172918,30.6112091123649,45.9188437558442
61,CISC30804,75.5236305288857,101.626409887276,103.201532026179,143.877569743239
62,CISC30875,153.33740654668,200.516836587568,151.182972960115,149.698497033254
